x,y,cumulative
1.0,0.000000000000000,19748.723687289672
1.5,11499.78326066603,8142.92939459553
2.0,4972.235891449993,3148.7723557949357
2.5,1213.7742814717963,1933.0600841765824
3.0,603.5172046452991,1315.1009994050712
3.5,412.2611532322658,906.2521932534283
4.0,353.96923499233867,549.2587088594379
4.5,187.54411820642204,378.50089825237217
5.0,140.02542405026813,232.36515554708242
5.5,89.76425861170756,144.4944948686228
6.0,45.20353656360243,99.57292477686084
6.5,30.87842727671737,67.74153269194177
7.0,28.25104277838279,39.505200935563415
7.5,13.521799213228158,25.860648133579613
8.0,9.23670857187386,16.499550733302065
